Address,LibraryCoinBalance,ETHBalance
0xb44eF428627AE5d8c4C06B0412Bd203C3a9815bC,0.0000,100.000000
0x40cFFadb7A811d8722d4161aa3175D110b85b3da,0.0000,100.000000
0xb968E4A20d2504De55D24B8a9CB6Fda13BB59bC1,0.0000,100.000000
0x31DA93EAFA98824C2b933841452dA75AD81587e7,0.0000,100.000000
0x80BA602842Cc2f72bB9db8Fc7e336C0A6582E8DC,0.0000,0.000000
0x39896eF16e68bb0FE0555813F9fF94e598371359,0.0000,0.000000
0x78aAF8FC0772eD62104218eF6C45f41cF4D27876,0.0000,100.000000
0x22b45B5A5876B4c66adE2B83273724A71Bfa70E2,0.0000,100.000000
0x60f4c6F223b773151d9a0aF1E6B4a8b31B073B78,1000.0000,99.740281
0x69CE1668C7c0D0a053B9B21Aa16b281f1847A63B,0.0000,100.000000
0x51Dac8c4a0D308e6Df46c9D5fb8B1b0486d2F4fE,0.0000,100.000000
0xcde72e8e7Cd93D382da8bE7d094cb9d58A84cD78,0.0000,100.000000
